logs__queries__correct,logs__queries__error,logs__users,logs__timestamp,dia,mes,aux,año,time,hora,min
452,6,452,2/8/18 19:00,2,8,18 19:00,18,19:00,19,0
576,9,585,2/8/18 19:15,2,8,18 19:15,18,19:15,19,15
579,9,588,2/8/18 19:30,2,8,18 19:30,18,19:30,19,30
634,6,631,2/8/18 19:45,2,8,18 19:45,18,19:45,19,45
628,4,632,2/8/18 20:00,2,8,18 20:00,18,20:00,20,0
832,7,839,2/8/18 20:15,2,8,18 20:15,18,20:15,20,15
842,12,854,2/8/18 20:30,2,8,18 20:30,18,20:30,20,30
837,7,844,2/8/18 20:45,2,8,18 20:45,18,20:45,20,45
730,5,735,2/8/18 21:00,2,8,18 21:00,18,21:00,21,0
762,12,774,2/8/18 21:15,2,8,18 21:15,18,21:15,21,15
712,15,727,2/8/18 21:30,2,8,18 21:30,18,21:30,21,30
719,9,728,2/8/18 21:45,2,8,18 21:45,18,21:45,21,45
700,5,705,2/8/18 22:00,2,8,18 22:00,18,22:00,22,0
770,9,779,2/8/18 22:15,2,8,18 22:15,18,22:15,22,15
695,8,703,2/8/18 22:30,2,8,18 22:30,18,22:30,22,30
629,8,637,2/8/18 22:45,2,8,18 22:45,18,22:45,22,45
576,8,584,2/8/18 23:00,2,8,18 23:00,18,23:00,23,0
563,3,566,2/8/18 23:15,2,8,18 23:15,18,23:15,23,15
551,3,554,2/8/18 23:30,2,8,18 23:30,18,23:30,23,30
443,2,445,2/8/18 23:45,2,8,18 23:45,18,23:45,23,45
390,5,395,3/8/18 0:00,3,8,18 0:00,18,0:00,0,0
466,4,470,3/8/18 0:15,3,8,18 0:15,18,0:15,0,15
373,1,374,3/8/18 0:30,3,8,18 0:30,18,0:30,0,30
331,0,331,3/8/18 0:45,3,8,18 0:45,18,0:45,0,45
307,4,311,3/8/18 1:00,3,8,18 1:00,18,1:00,1,0
339,5,344,3/8/18 1:15,3,8,18 1:15,18,1:15,1,15
304,3,307,3/8/18 1:30,3,8,18 1:30,18,1:30,1,30
320,2,322,3/8/18 1:45,3,8,18 1:45,18,1:45,1,45
398,2,392,3/8/18 2:00,3,8,18 2:00,18,2:00,2,0
341,2,343,3/8/18 2:15,3,8,18 2:15,18,2:15,2,15
336,5,333,3/8/18 2:30,3,8,18 2:30,18,2:30,2,30
244,3,247,3/8/18 2:45,3,8,18 2:45,18,2:45,2,45
201,4,205,3/8/18 3:00,3,8,18 3:00,18,3:00,3,0
179,2,181,3/8/18 3:15,3,8,18 3:15,18,3:15,3,15
168,1,169,3/8/18 3:30,3,8,18 3:30,18,3:30,3,30
154,1,147,3/8/18 3:45,3,8,18 3:45,18,3:45,3,45
159,2,161,3/8/18 4:00,3,8,18 4:00,18,4:00,4,0
87,1,88,3/8/18 4:15,3,8,18 4:15,18,4:15,4,15
70,1,71,3/8/18 4:30,3,8,18 4:30,18,4:30,4,30
63,0,63,3/8/18 4:45,3,8,18 4:45,18,4:45,4,45
55,0,55,3/8/18 5:00,3,8,18 5:00,18,5:00,5,0
34,0,34,3/8/18 5:15,3,8,18 5:15,18,5:15,5,15
25,0,25,3/8/18 5:30,3,8,18 5:30,18,5:30,5,30
24,0,24,3/8/18 5:45,3,8,18 5:45,18,5:45,5,45
23,0,23,3/8/18 6:00,3,8,18 6:00,18,6:00,6,0
23,0,23,3/8/18 6:15,3,8,18 6:15,18,6:15,6,15
22,0,22,3/8/18 6:34,3,8,18 6:34,18,6:34,6,34
21,0,21,3/8/18 6:45,3,8,18 6:45,18,6:45,6,45
27,0,27,3/8/18 7:00,3,8,18 7:00,18,7:00,7,0
55,1,56,3/8/18 7:15,3,8,18 7:15,18,7:15,7,15
62,1,63,3/8/18 7:30,3,8,18 7:30,18,7:30,7,30
59,0,59,3/8/18 7:45,3,8,18 7:45,18,7:45,7,45
61,0,61,3/8/18 8:00,3,8,18 8:00,18,8:00,8,0
90,2,89,3/8/18 8:15,3,8,18 8:15,18,8:15,8,15
110,1,111,3/8/18 8:30,3,8,18 8:30,18,8:30,8,30
177,1,178,3/8/18 8:45,3,8,18 8:45,18,8:45,8,45
162,0,162,3/8/18 9:00,3,8,18 9:00,18,9:00,9,0
232,0,232,3/8/18 9:15,3,8,18 9:15,18,9:15,9,15
372,7,379,3/8/18 9:30,3,8,18 9:30,18,9:30,9,30
650,8,658,3/8/18 9:45,3,8,18 9:45,18,9:45,9,45
589,5,594,3/8/18 10:00,3,8,18 10:00,18,10:00,10,0
562,10,572,3/8/18 10:15,3,8,18 10:15,18,10:15,10,15
593,16,609,3/8/18 10:30,3,8,18 10:30,18,10:30,10,30
749,12,761,3/8/18 10:45,3,8,18 10:45,18,10:45,10,45
557,9,566,3/8/18 11:00,3,8,18 11:00,18,11:00,11,0
442,7,449,3/8/18 11:15,3,8,18 11:15,18,11:15,11,15
387,8,395,3/8/18 11:30,3,8,18 11:30,18,11:30,11,30
346,4,350,3/8/18 11:45,3,8,18 11:45,18,11:45,11,45
285,3,288,3/8/18 12:00,3,8,18 12:00,18,12:00,12,0
260,2,262,3/8/18 12:15,3,8,18 12:15,18,12:15,12,15
293,1,294,3/8/18 12:30,3,8,18 12:30,18,12:30,12,30
313,3,316,3/8/18 12:45,3,8,18 12:45,18,12:45,12,45
